count_point_id,year,count_date,hour,region_id,local_authority_id,road_name,road_type,start_junction_road_name,end_junction_road_name,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,all_motor_vehicles
6471,2017,22/05/2017,7,10,152,A45,Major,A444,A46,28,2505,5,3028
6471,2017,22/05/2017,8,10,152,A45,Major,A444,A46,16,2330,17,2831
6471,2017,22/05/2017,9,10,152,A45,Major,A444,A46,8,1484,15,2025
6471,2017,22/05/2017,10,10,152,A45,Major,A444,A46,6,1150,10,1681
6471,2017,22/05/2017,11,10,152,A45,Major,A444,A46,7,1154,8,1664
6471,2017,22/05/2017,12,10,152,A45,Major,A444,A46,3,1281,9,1826
6471,2017,22/05/2017,13,10,152,A45,Major,A444,A46,12,1281,11,1814
6471,2017,22/05/2017,14,10,152,A45,Major,A444,A46,5,1368,9,1979
6471,2017,22/05/2017,15,10,152,A45,Major,A444,A46,22,1746,14,2375
6471,2017,22/05/2017,16,10,152,A45,Major,A444,A46,16,2289,12,2833
6471,2017,22/05/2017,17,10,152,A45,Major,A444,A46,19,2206,16,2583
6471,2017,22/05/2017,18,10,152,A45,Major,A444,A46,18,1664,18,1942
6471,2017,22/05/2017,7,10,152,A45,Major,A444,A46,25,2263,17,2963
6471,2017,22/05/2017,8,10,152,A45,Major,A444,A46,17,1952,11,2607
6471,2017,22/05/2017,9,10,152,A45,Major,A444,A46,4,1550,14,2167
6471,2017,22/05/2017,10,10,152,A45,Major,A444,A46,5,1398,13,1986
6471,2017,22/05/2017,11,10,152,A45,Major,A444,A46,3,1341,13,1880
6471,2017,22/05/2017,12,10,152,A45,Major,A444,A46,10,1274,19,1844
6471,2017,22/05/2017,13,10,152,A45,Major,A444,A46,10,1316,8,1843
6471,2017,22/05/2017,14,10,152,A45,Major,A444,A46,8,1385,24,1890
6471,2017,22/05/2017,15,10,152,A45,Major,A444,A46,11,1926,13,2453
6471,2017,22/05/2017,16,10,152,A45,Major,A444,A46,21,2280,15,2785
6471,2017,22/05/2017,17,10,152,A45,Major,A444,A46,20,2446,11,2807
6471,2017,22/05/2017,18,10,152,A45,Major,A444,A46,11,1855,6,2132
47156,2017,11/10/2017,7,10,152,A429,Major,B4113,A4053,2,635,18,700
47156,2017,11/10/2017,8,10,152,A429,Major,B4113,A4053,5,1015,20,1102
47156,2017,11/10/2017,9,10,152,A429,Major,B4113,A4053,0,713,21,817
47156,2017,11/10/2017,10,10,152,A429,Major,B4113,A4053,6,624,22,731
47156,2017,11/10/2017,11,10,152,A429,Major,B4113,A4053,2,543,20,655
47156,2017,11/10/2017,12,10,152,A429,Major,B4113,A4053,2,625,22,729
47156,2017,11/10/2017,13,10,152,A429,Major,B4113,A4053,2,594,12,691
47156,2017,11/10/2017,14,10,152,A429,Major,B4113,A4053,3,609,18,725
47156,2017,11/10/2017,15,10,152,A429,Major,B4113,A4053,6,716,23,815
47156,2017,11/10/2017,16,10,152,A429,Major,B4113,A4053,9,801,26,929
47156,2017,11/10/2017,17,10,152,A429,Major,B4113,A4053,5,824,15,892
47156,2017,11/10/2017,18,10,152,A429,Major,B4113,A4053,6,746,19,812
47156,2017,11/10/2017,7,10,152,A429,Major,B4113,A4053,7,696,15,802
47156,2017,11/10/2017,8,10,152,A429,Major,B4113,A4053,0,574,22,662
47156,2017,11/10/2017,9,10,152,A429,Major,B4113,A4053,1,485,23,576
47156,2017,11/10/2017,10,10,152,A429,Major,B4113,A4053,1,470,19,581
47156,2017,11/10/2017,11,10,152,A429,Major,B4113,A4053,3,497,19,600
47156,2017,11/10/2017,12,10,152,A429,Major,B4113,A4053,2,630,20,725
47156,2017,11/10/2017,13,10,152,A429,Major,B4113,A4053,1,641,22,720
47156,2017,11/10/2017,14,10,152,A429,Major,B4113,A4053,6,667,25,773
47156,2017,11/10/2017,15,10,152,A429,Major,B4113,A4053,5,769,30,874
47156,2017,11/10/2017,16,10,152,A429,Major,B4113,A4053,3,749,23,821
47690,2017,03/07/2017,7,10,152,A4053,Major,A4114,B4098,9,1087,8,1268
47690,2017,03/07/2017,8,10,152,A4053,Major,A4114,B4098,5,1349,6,1494
47690,2017,03/07/2017,9,10,152,A4053,Major,A4114,B4098,3,858,11,1071
73314,2017,22/03/2017,7,10,152,A45,Major,A46,LA Boundary,7,1485,11,1935
73314,2017,22/03/2017,8,10,152,A45,Major,A46,LA Boundary,3,1296,7,1639
73314,2017,22/03/2017,9,10,152,A45,Major,A46,LA Boundary,1,778,5,1164
73314,2017,22/03/2017,10,10,152,A45,Major,A46,LA Boundary,0,666,4,1045
73314,2017,22/03/2017,11,10,152,A45,Major,A46,LA Boundary,2,674,5,994
73314,2017,22/03/2017,12,10,152,A45,Major,A46,LA Boundary,1,718,7,1044
73314,2017,22/03/2017,13,10,152,A45,Major,A46,LA Boundary,2,803,3,1150
73314,2017,22/03/2017,14,10,152,A45,Major,A46,LA Boundary,3,864,5,1207
73314,2017,22/03/2017,15,10,152,A45,Major,A46,LA Boundary,4,1090,11,1430
73314,2017,22/03/2017,16,10,152,A45,Major,A46,LA Boundary,11,1616,4,1929
73314,2017,22/03/2017,17,10,152,A45,Major,A46,LA Boundary,9,1878,4,2148
73314,2017,22/03/2017,18,10,152,A45,Major,A46,LA Boundary,4,1353,5,1523
73314,2017,22/03/2017,7,10,152,A45,Major,A46,LA Boundary,11,1716,6,2092
73314,2017,22/03/2017,8,10,152,A45,Major,A46,LA Boundary,9,1586,13,1915
73314,2017,22/03/2017,9,10,152,A45,Major,A46,LA Boundary,3,1008,12,1356
73314,2017,22/03/2017,10,10,152,A45,Major,A46,LA Boundary,1,701,0,1050
73314,2017,22/03/2017,11,10,152,A45,Major,A46,LA Boundary,1,670,3,1035
73314,2017,22/03/2017,12,10,152,A45,Major,A46,LA Boundary,3,826,6,1203
73314,2017,22/03/2017,13,10,152,A45,Major,A46,LA Boundary,3,740,5,1142
73314,2017,22/03/2017,14,10,152,A45,Major,A46,LA Boundary,1,888,8,1279
73314,2017,22/03/2017,15,10,152,A45,Major,A46,LA Boundary,3,1123,3,1507
27151,2017,12/07/2017,7,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,2,411,8,468
27151,2017,12/07/2017,8,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,3,506,12,582
27151,2017,12/07/2017,9,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,1,526,15,612
27151,2017,12/07/2017,10,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,0,410,12,483
27151,2017,12/07/2017,11,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,1,405,12,500
47690,2017,03/07/2017,10,10,152,A4053,Major,A4114,B4098,2,835,10,1050
47690,2017,03/07/2017,11,10,152,A4053,Major,A4114,B4098,3,771,2,955
47690,2017,03/07/2017,12,10,152,A4053,Major,A4114,B4098,2,870,10,1059
47690,2017,03/07/2017,13,10,152,A4053,Major,A4114,B4098,2,919,4,1023
47690,2017,03/07/2017,14,10,152,A4053,Major,A4114,B4098,5,862,2,993
47690,2017,03/07/2017,15,10,152,A4053,Major,A4114,B4098,4,956,10,1118
47690,2017,03/07/2017,16,10,152,A4053,Major,A4114,B4098,8,1143,13,1303
47690,2017,03/07/2017,17,10,152,A4053,Major,A4114,B4098,10,1231,5,1344
47690,2017,03/07/2017,18,10,152,A4053,Major,A4114,B4098,4,1045,3,1122
47690,2017,03/07/2017,7,10,152,A4053,Major,A4114,B4098,1,543,6,642
47690,2017,03/07/2017,8,10,152,A4053,Major,A4114,B4098,3,703,4,830
47690,2017,03/07/2017,9,10,152,A4053,Major,A4114,B4098,1,475,3,596
47690,2017,03/07/2017,10,10,152,A4053,Major,A4114,B4098,2,538,11,666
47690,2017,03/07/2017,11,10,152,A4053,Major,A4114,B4098,2,567,6,636
47690,2017,03/07/2017,12,10,152,A4053,Major,A4114,B4098,2,661,4,775
47690,2017,03/07/2017,13,10,152,A4053,Major,A4114,B4098,8,641,3,782
47156,2017,11/10/2017,17,10,152,A429,Major,B4113,A4053,5,774,16,826
47156,2017,11/10/2017,18,10,152,A429,Major,B4113,A4053,3,768,18,818
47690,2017,03/07/2017,14,10,152,A4053,Major,A4114,B4098,5,622,12,751
47690,2017,03/07/2017,15,10,152,A4053,Major,A4114,B4098,1,737,7,839
47690,2017,03/07/2017,16,10,152,A4053,Major,A4114,B4098,4,948,11,1039
47690,2017,03/07/2017,17,10,152,A4053,Major,A4114,B4098,3,1249,7,1347
47690,2017,03/07/2017,18,10,152,A4053,Major,A4114,B4098,4,753,2,793
7103,2017,29/09/2017,7,10,152,A4082,Major,A444,B4110,6,927,11,1155
7103,2017,29/09/2017,8,10,152,A4082,Major,A444,B4110,2,1189,9,1373
7103,2017,29/09/2017,9,10,152,A4082,Major,A444,B4110,2,796,10,1006
7103,2017,29/09/2017,10,10,152,A4082,Major,A444,B4110,1,671,10,847
7103,2017,29/09/2017,11,10,152,A4082,Major,A444,B4110,1,672,8,860
7103,2017,29/09/2017,12,10,152,A4082,Major,A444,B4110,5,1227,9,1470
7103,2017,29/09/2017,13,10,152,A4082,Major,A444,B4110,2,1196,9,1461
7103,2017,29/09/2017,14,10,152,A4082,Major,A444,B4110,7,1386,11,1649
7103,2017,29/09/2017,15,10,152,A4082,Major,A444,B4110,9,1556,9,1788
7103,2017,29/09/2017,16,10,152,A4082,Major,A444,B4110,12,1373,10,1605
7103,2017,29/09/2017,17,10,152,A4082,Major,A444,B4110,3,1321,6,1478
7103,2017,29/09/2017,18,10,152,A4082,Major,A444,B4110,2,1226,6,1322
7103,2017,29/09/2017,7,10,152,A4082,Major,A444,B4110,9,1270,13,1546
7103,2017,29/09/2017,8,10,152,A4082,Major,A444,B4110,6,1228,10,1409
7103,2017,29/09/2017,9,10,152,A4082,Major,A444,B4110,1,1120,12,1390
7103,2017,29/09/2017,10,10,152,A4082,Major,A444,B4110,4,930,9,1200
7103,2017,29/09/2017,11,10,152,A4082,Major,A444,B4110,5,1016,8,1234
7103,2017,29/09/2017,12,10,152,A4082,Major,A444,B4110,4,1176,11,1380
7103,2017,29/09/2017,13,10,152,A4082,Major,A444,B4110,10,996,10,1203
7103,2017,29/09/2017,14,10,152,A4082,Major,A444,B4110,8,862,14,1050
7103,2017,29/09/2017,15,10,152,A4082,Major,A444,B4110,2,1420,9,1625
7103,2017,29/09/2017,16,10,152,A4082,Major,A444,B4110,5,1273,10,1453
70238,2017,15/09/2017,7,10,152,A428,Major,A4600,A444,6,784,14,934
70238,2017,15/09/2017,8,10,152,A428,Major,A4600,A444,3,1098,25,1263
70238,2017,15/09/2017,9,10,152,A428,Major,A4600,A444,3,690,17,891
70238,2017,15/09/2017,10,10,152,A428,Major,A4600,A444,1,708,16,908
70238,2017,15/09/2017,11,10,152,A428,Major,A4600,A444,5,914,16,1121
70238,2017,15/09/2017,12,10,152,A428,Major,A4600,A444,13,1010,12,1234
70238,2017,15/09/2017,13,10,152,A428,Major,A4600,A444,6,1029,15,1253
70238,2017,15/09/2017,14,10,152,A428,Major,A4600,A444,9,1250,21,1469
70238,2017,15/09/2017,15,10,152,A428,Major,A4600,A444,12,1241,22,1447
70238,2017,15/09/2017,16,10,152,A428,Major,A4600,A444,12,1640,23,1840
70238,2017,15/09/2017,17,10,152,A428,Major,A4600,A444,10,1591,16,1763
16446,2017,03/11/2017,7,10,152,A45,Major,B4101,A429,9,1632,10,1879
16446,2017,03/11/2017,8,10,152,A45,Major,B4101,A429,4,1590,9,1823
16446,2017,03/11/2017,9,10,152,A45,Major,B4101,A429,4,1260,7,1578
16446,2017,03/11/2017,10,10,152,A45,Major,B4101,A429,5,976,8,1280
16446,2017,03/11/2017,11,10,152,A45,Major,B4101,A429,9,1084,5,1364
16446,2017,03/11/2017,12,10,152,A45,Major,B4101,A429,4,1392,11,1716
16446,2017,03/11/2017,13,10,152,A45,Major,B4101,A429,10,1206,10,1539
16446,2017,03/11/2017,14,10,152,A45,Major,B4101,A429,8,1439,4,1777
16446,2017,03/11/2017,15,10,152,A45,Major,B4101,A429,10,1449,10,1782
16446,2017,03/11/2017,16,10,152,A45,Major,B4101,A429,11,1713,10,2008
16446,2017,03/11/2017,17,10,152,A45,Major,B4101,A429,7,1574,7,1785
16446,2017,03/11/2017,18,10,152,A45,Major,B4101,A429,5,1373,6,1493
16446,2017,03/11/2017,7,10,152,A45,Major,B4101,A429,8,1315,6,1621
16446,2017,03/11/2017,8,10,152,A45,Major,B4101,A429,10,1169,6,1460
16446,2017,03/11/2017,9,10,152,A45,Major,B4101,A429,1,864,3,1157
16446,2017,03/11/2017,10,10,152,A45,Major,B4101,A429,0,830,8,1095
16446,2017,03/11/2017,11,10,152,A45,Major,B4101,A429,4,875,6,1171
7103,2017,29/09/2017,17,10,152,A4082,Major,A444,B4110,8,1346,14,1477
7103,2017,29/09/2017,18,10,152,A4082,Major,A444,B4110,1,1284,14,1436
16446,2017,03/11/2017,12,10,152,A45,Major,B4101,A429,10,1221,6,1538
16446,2017,03/11/2017,13,10,152,A45,Major,B4101,A429,7,1132,5,1367
16446,2017,03/11/2017,14,10,152,A45,Major,B4101,A429,3,1165,7,1395
16446,2017,03/11/2017,15,10,152,A45,Major,B4101,A429,7,1266,5,1456
16446,2017,03/11/2017,16,10,152,A45,Major,B4101,A429,14,1568,10,1747
16446,2017,03/11/2017,17,10,152,A45,Major,B4101,A429,1,1338,10,1456
16446,2017,03/11/2017,18,10,152,A45,Major,B4101,A429,4,1228,6,1340
70238,2017,15/09/2017,18,10,152,A428,Major,A4600,A444,7,1169,16,1276
70238,2017,15/09/2017,7,10,152,A428,Major,A4600,A444,6,1298,18,1566
70238,2017,15/09/2017,8,10,152,A428,Major,A4600,A444,9,1453,20,1681
70238,2017,15/09/2017,9,10,152,A428,Major,A4600,A444,4,1210,15,1450
70238,2017,15/09/2017,10,10,152,A428,Major,A4600,A444,6,935,16,1183
70238,2017,15/09/2017,11,10,152,A428,Major,A4600,A444,6,945,16,1155
70238,2017,15/09/2017,12,10,152,A428,Major,A4600,A444,3,1201,17,1400
70238,2017,15/09/2017,13,10,152,A428,Major,A4600,A444,8,1156,14,1368
70238,2017,15/09/2017,14,10,152,A428,Major,A4600,A444,5,1118,21,1318
70238,2017,15/09/2017,15,10,152,A428,Major,A4600,A444,11,1377,17,1594
70238,2017,15/09/2017,16,10,152,A428,Major,A4600,A444,13,1482,12,1647
70238,2017,15/09/2017,17,10,152,A428,Major,A4600,A444,6,1174,19,1313
70238,2017,15/09/2017,18,10,152,A428,Major,A4600,A444,6,1080,12,1166
36482,2017,09/06/2017,7,10,152,A45,Major,A4114,B4101,0,705,8,860
36482,2017,09/06/2017,8,10,152,A45,Major,A4114,B4101,1,696,2,873
36482,2017,09/06/2017,9,10,152,A45,Major,A4114,B4101,4,511,1,697
